year,asset_id,native_asset_id,asset_name,iso3_country,original_inventory_sector,activity,emissions_quantity,emissions_quantity_new,emissions_quantity_avoided,annexOrNot,lat,lon
2023,728615,met3655,OpenStreetMap Landfill,SRB,solid-waste-disposal,65741.85911,2999.998257,556.2418699,2443.756387,false,43.40955142,19.63416655
2023,729939,met6503,OpenStreetMap Landfill,CHN,solid-waste-disposal,112020.508,3390.300675,947.8055183,2442.495157,false,40.84618329,115.85873
2023,25769869,eprtr625,Aterro Para Resíduos Industriais Não Perigosos De Alenquer (Ci),PRT,solid-waste-disposal,56972.1963,2924.041003,482.0417529,2441.99925,true,39.12839,-8.952836
2023,727586,met2390,OpenStreetMap Landfill,IDN,solid-waste-disposal,124299.8959,3492.827074,1051.701419,2441.125655,false,-2.356928282,115.4001026
2023,25770762,lmop669,Muskingum,USA,solid-waste-disposal,62081.52,2965.820455,525.2717407,2440.548714,true,39.964539,-81.969802
2023,728266,met3306,OpenStreetMap Landfill,TUR,solid-waste-disposal,54259.95677,2896.342233,459.0934943,2437.248738,true,40.21281253,29.97084972
2023,25768747,epa908,Lakeway Sanitation & Recycling Class I,USA,solid-waste-disposal,192181.2928,4063.096893,1626.045918,2437.050974,true,36.148473,-83.203596
2023,728764,met3822,OpenStreetMap Landfill,RUS,solid-waste-disposal,50857.10906,2865.798096,430.3019998,2435.496096,true,50.82611206,39.18110208
2023,25776471,gpw74,"Batey Alemán, San Pedro De Macorís, Dominican Republic",DOM,solid-waste-disposal,74092.49608,3060.612828,626.8966093,2433.716219,false,18.48184586,-69.23209254
2023,727052,met36,OpenStreetMap Landfill,ARG,solid-waste-disposal,65389.68143,2985.692854,553.2620946,2432.430759,false,-32.01049139,-62.89711499
2023,729457,met5931,OpenStreetMap Landfill,UKR,solid-waste-disposal,56459.20859,2910.076988,477.7013639,2432.375625,true,49.81881797,36.07815911
2023,25768482,epa643,South Cushman Landfill,USA,solid-waste-disposal,94505.84956,3231.438514,799.6139931,2431.824521,true,64.80476,-147.70085
2023,728408,met3448,OpenStreetMap Landfill,TUR,solid-waste-disposal,57626.80841,2915.397864,487.580426,2427.817438,true,38.66611397,36.17411016
2023,728248,met3288,OpenStreetMap Landfill,TUR,solid-waste-disposal,57123.89353,2910.576623,483.3252631,2427.25136,true,40.07559601,28.6980838
2023,25768415,epa576,Reno County Municipal Solid Waste Landfill,USA,solid-waste-disposal,151766.7127,3708.116093,1284.098157,2424.017936,true,38.04,-98
2023,25770306,lmop213,Harnett County Lf,USA,solid-waste-disposal,50125.59996,2847.685459,424.1127013,2423.572758,true,35.3535,-78.6537
2023,728183,met3223,OpenStreetMap Landfill,TUR,solid-waste-disposal,57009.05942,2905.352695,482.3536517,2422.999043,true,38.72792146,31.08329127
2023,727676,met2480,OpenStreetMap Landfill,AUS,solid-waste-disposal,132907.3767,3545.702994,1124.529314,2421.173681,true,-12.65468639,132.8519389
2023,25769997,eprtr753,Westmill Ii Waste Management Facility,GBR,solid-waste-disposal,56382.82869,2893.7923,477.0551135,2416.737186,true,51.821895,-0.047007824
2023,25770015,eprtr771,Poplars Landfill & Ad Facility,GBR,solid-waste-disposal,56186.37282,2883.709399,475.3929004,2408.316498,true,52.682295,-2.0117909
2023,25768457,epa618,Nelson County Solid Waste Disposal Facility,USA,solid-waste-disposal,71624.29276,3013.878615,606.013141,2407.865474,true,37.8169,-85.5392
2023,728345,met3385,OpenStreetMap Landfill,TUR,solid-waste-disposal,60859.42648,2921.800206,514.9316075,2406.868599,true,39.00211044,34.17230206
2023,727536,met2340,OpenStreetMap Landfill,DZA,solid-waste-disposal,76552.53564,3054.139962,647.711004,2406.428958,false,19.57439496,5.755663316
2023,725829,mex1195,Deposito De Basura De La Cabecera De Etchojoa,MEX,solid-waste-disposal,71708.85125,3011.700044,606.7285904,2404.971453,false,26.91723689,-109.6146566
2023,727827,met2631,OpenStreetMap Landfill,AUS,solid-waste-disposal,107966.5503,3316.408527,913.5049825,2402.903544,true,-26.74265209,150.5982686
